Song,id,danceability,energy,valence,ratings
Tiptoeing,28nLvoHu6NbkHNPmoxR8uD,0.467,0.137,0.0687,0
Takeoff,4iKSrwTBu0vLSqmZUXSGXr,0.44,0.32,0.0694,0
On Another Ocean (January / June),2fgMzSoDaPrU4EYsrkAwVn,0.284,0.523,0.0697,0
mellow,1yJXNOEP2bq1N1691n37oS,0.609,0.157,0.0698,0
Fête sous les étoiles,55ux9bDGw3qTVfad3PxSTq,0.312,0.00811,0.0703,0
Tuesday,2GuchYit1FmdtXTxl6SbUE,0.323,0.0214,0.0703,0
Dew Drops,0NnFglDnuZH6qKuvhZpB0r,0.27,0.0384,0.0708,0
I dine øjne,07htwTiSZVnQfdl38siCIn,0.67,0.417,0.0708,0
Halfway There (feat. Lena Leon),3EKKIR8be1kfAAwaz1fzyS,0.59,0.888,0.0715,0
Desire Lines,63JP68VirmCXtWRoMTX8Xi,0.379,0.652,0.0724,0
Tu Vois,5ewE85NIsYxn02MhetYKqs,0.351,0.0077,0.0728,0
To Build A Home,54KFQB6N4pn926IUUYZGzK,0.264,0.122,0.0735,0
Raven's Feather - Piano Solo,7sBlA4bK7gpf2H42K6Y0H3,0.594,0.0624,0.0738,0
De Fléche,5vymVJ2WUlLnMeQqrgwQx8,0.435,0.333,0.074,0
Reality,3sqyZAk7dUY3U4ApoJcRzJ,0.651,0.836,0.0741,0
Bad Kingdom,7vCuaxRIKElwgjSAo5REkw,0.401,0.199,0.0744,0
Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,0TEW7oRDKD2mjJQH507ni4,0.532,0.664,0.075,0
Used to Be,0p44zFo2S1c50vmx0B7mPF,0.201,0.0394,0.0754,0
Crossing,08Q4GyxnB8ak1ZwHnjwova,0.542,0.189,0.0755,0
People Are Strange - Festival Mix,5b61rcrjF6JG7yq0RRaOLh,0.636,0.912,0.0765,0
Surrender,0ecC8p17cDNlxHXkuYqeR6,0.39,0.448,0.077,0
Drifting,157kvk58Qr04AiuDv2aQWd,0.616,0.202,0.0773,0
Yam Yam,1j56M8iOGH48yuKqj64qGK,0.445,0.591,0.0774,0
Some Kind Of Love,0vicQm86o7GnT42GdG34sA,0.246,0.482,0.0776,0
"Song to the Siren - Recorded at Strongroom Studios, London",0hx6wJdPlMpT254F9UYQNu,0.371,0.15,0.0785,0
The Five Times I Loved You,0W4RUo3m0jL0wHADS0PLme,0.41,0.0845,0.0795,0
Misty Mornings,5FXnCOAkMUAf4QIS56MRQL,0.522,0.0781,0.0796,0
Malibu,3RlwtjeKhemCfiPvwMFozS,0.435,0.154,0.0799,0
you broke me first,45bE4HXI0AwGZXfZtMp8JR,0.642,0.374,0.0799,0
æfre,2irbT1BSYaIEF44PlyKaoM,0.377,0.0156,0.0804,0
Goya,2bo6ZMPnFkWCd0VRTMwbcs,0.365,0.00656,0.0809,0
The Night We Met - Rework,6lUDMNgZEaXVprnVgoprfT,0.506,0.0434,0.0823,0
Waiting,7eClkLWbrr3TorYedzaDkI,0.236,0.33,0.0827,0
Placidity,1XtkmIXg2o5SqOrNI8Szvk,0.261,0.25,0.0827,0
Stay Still,12nlJypOUmAV4VQxFvfAw1,0.382,0.0305,0.0835,0
Floating Sunbeams,7hJZMJqFRlypzSlxC7Kn8n,0.205,0.202,0.086,0
To The Hilt,41bqxcnDRcYsBJnJKtPCdp,0.327,0.101,0.0866,0
Open Skies,5bATh5zpKb6uauocsl0XRM,0.56,0.559,0.0869,0
Unmade,4rXDPFpzMyUIdEpNWiwzYV,0.186,0.3,0.0877,0
3ness,2aoxz8c3bHyDrZBhTKnTXh,0.35,0.0706,0.0877,0
Curious Morning,5lZyYNi8OfFWKiX1p9zDQP,0.391,0.231,0.0882,0
alpha waves,5ZCW5CDwhfXJGL2MzxGwhx,0.561,0.314,0.0883,0
In This Moment,7FORBAxm1qwuwbYo7Rtz42,0.479,0.221,0.089,0
Montana,1EyctTkkGJVS3UYTuy8YZM,0.435,0.0595,0.0898,0
Chariot,6dB3Uad2TOaJcGKpM3zizO,0.374,0.426,0.0902,0
Infinite Sustain,5AciiCKJKTLKRrAPSrKQy5,0.529,0.214,0.0903,0
Minus,5Z8onMr6EW2eNDamrDoWi5,0.244,0.254,0.0909,0
Send It,2GXOmuU3kApsq2TWqOU5Bm,0.646,0.979,0.091,0
Bayybe 07,08qO8i2K0Hxl0h8PIncyuH,0.44,0.384,0.0912,0
The Snail’s Teachings II: The Wonders of,2plPRo1J2A2erccAh1eJMB,0.334,0.00961,0.0916,0
Long Way Down,1uVk6S6Fpkrmji0iTpgKEC,0.367,0.121,0.0926,0
Only,0yfd3MSq6JEsNxOzSLJR7g,0.373,0.178,0.0933,0
Dive,5TvkWUGywzfVF5HQ9uySVF,0.434,0.531,0.0935,0
Jealous,4L2K7JKseFCBoHMZEAszW0,0.435,0.155,0.0935,0
Be My Mistake,0AG2l0IboWNSwjUkMr2Aq7,0.572,0.155,0.0949,0
Movies,4ZYFWXoHCIdsdgUdOMK9fr,0.0903,0.362,0.0964,0
I'm Your Man,5FRWe0PkPj4CQ4fvibzTEh,0.429,0.356,0.0965,0
Coda,2TFQPFUqRtgj1auq9b5PlR,0.351,0.24,0.0968,0
Bison on the Plains,0e0hVla9NkILk2JWOwVCMW,0.476,0.522,0.0973,0
The Night We Met,6mORGLOz79w6VsCRLWYYuK,0.443,0.369,0.0989,0
Skinny Love,1NyFRrFiJAJIaR6icj1goI,0.592,0.256,0.103,0
Breathe,5q2hzGmdBeXEWuMOlOMOt2,0.612,0.037,0.103,0
Creep,1ytTeSRAU6IRo2itVDwtPv,0.515,0.43,0.104,0
Slow It Down,0ewX9JsKy9oa4IifkFSroa,0.423,0.0657,0.105,0
Understudy,0Y41ZfnVaNRQp9dQiagwbC,0.494,0.263,0.105,0
Coming Home,30ACOtgBj1PqZs1erzFZkU,0.198,0.139,0.106,0
"Quiet, The Winter Harbor",1OArWxrw689jZXaJzSErbh,0.321,0.0792,0.106,0
Goshen,5rLZGAZOstOC3fqhmGChvK,0.284,0.262,0.107,0
Silver Lining,4w7vMUyVony198G1c79PSq,0.317,0.106,0.108,0
Awaken,00ZtJgQax06A96l8sMcmlB,0.346,0.0943,0.109,0
Bortom Träden,4CFlaEtdgeu4mFmnUApAyl,0.446,0.0586,0.111,0
Anchor,6x6XKEUcCJGUACD4Xh7KuP,0.486,0.356,0.111,0
Just Look at You,62X7ld1sa8RHl4zRtSvfHf,0.558,0.249,0.111,0
Ingénue,6mgKP4yo57GTSMc3fJlyWm,0.283,0.122,0.112,0
Back+,6MrVWgw16iHBGRntjRkGQq,0.383,0.0197,0.113,0
Planet,1gIZhNdfbkGJ2iyOZJmW9O,0.549,0.0604,0.113,0
When You Left,1uu52K2fxY7Hl4LQ8AtTyY,0.56,0.0853,0.113,0
Bouquet with Lilies,1j45uvYWACNGDZ0jmKSTuP,0.621,0.345,0.113,0
Someday,5zOetBDO9NONS4KnIBXtnx,0.572,0.571,0.115,0
9 Crimes,5GZEeowhvSieFDiR8fQ2im,0.346,0.139,0.116,0
Never Letting Go,5llPdGZJjJFJv9aL6ZaiLY,0.534,0.765,0.117,0
Bird,6DzvC1VHpyTFfLBbAYBa7W,0.235,0.187,0.118,0
Prelude,1QmdL4qnNkm8FDuseRMf21,0.306,0.0846,0.118,0
Angry Chair,6H0wgcQCOuLYqDuNhMW8KL,0.313,0.973,0.118,0
The Funeral,4Ao5JXfOIMJGlVo8sJpjFr,0.316,0.769,0.118,0
Anaviosi,4OWZLr2sLv7ueKPHV7JRNP,0.391,0.0121,0.118,0
Remains,288oxP29Qe5FikFIc1b1Gd,0.157,0.0755,0.119,0
Hoovela,1dssHOp3HpaK9o5c0CL7xU,0.341,0.989,0.119,0
Melancholé,3SdkYA8frHe3BMZsPVPrRq,0.369,0.0283,0.119,0
North,3AtuVA6OJB7ZxBbMfA5qYx,0.522,0.0155,0.119,0
