Song,id,danceability,energy,valence,ratings
Juliens Journey,0DVw5GHPCUImZ8VmRdlbmx,0.578,0.0154,0.244,0
Free,6s2T9kuNYNZKsG5Fa1LiDN,0.481,0.922,0.246,0
Let It Go,13HVjjWUZFaWilh2QUJKsP,0.546,0.311,0.246,0
Fantasy - R3HAB Remix,3iGMErA58MMTYT1mBkUkRf,0.7,0.751,0.246,0
Telling Tales,3AfZWVkAf2ipi68BMVvfwq,0.425,0.555,0.247,0
Isonoe,4sP8BZIZKGVq6jHOSPF17A,0.365,0.119,0.249,0
Anthem,1SSAvErVyid5OXzmtGZKkg,0.664,0.86,0.249,0
Essential Attitudes,0T3UHut7JmCi5jcgYiMawm,0.444,0.497,0.25,0
Video Killed The Radio Star,7o7E1nrHWncYY7PY94gCiX,0.68,0.678,0.251,0
Bloom,5DP6ow4t5Mmfge0fMRhSJD,0.249,0.129,0.253,0
Vamos,0i6KOje3rNRSNPw0vy803g,0.52,0.975,0.254,1
I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,0.21,0.94,0.255,1
Kids In The Dark,2dqq3YMX6nlJKXhrjY5W4J,0.47,0.526,0.257,1
When The World Stood Still,0w9rKPt8242huJZKFA1zGX,0.461,0.0167,0.259,1
What's Good,6OBl3esnGuz8PllwDWinWS,0.542,0.0957,0.259,1
One Night - D.O.D Remix,5Q0VxlFh80F3LmbGnuDE4M,0.681,0.969,0.26,1
Would You Rather,4ctEt5qumxA8RuzdeQagkk,0.482,0.363,0.261,1
Target,60tHXabTlAhzlkXRDWl9cp,0.55,0.471,0.261,1
Tears Don't Fall,1kdiiFGX1Htx0aVZYaDwEJ,0.212,0.926,0.262,1
Time Out,4CYsf9MUjowxTMTVT39hTL,0.695,0.0761,0.262,1
Betty,0yBM8cOHjb6iiMI2eM8pIc,0.171,0.185,0.264,1
Ballad of the Dying Man,65w8nArxPq2EzOAhteymf0,0.399,0.443,0.265,1
I've Been Fine,0KyPBZ6PAxzpcAobqxhaHu,0.548,0.569,0.265,1
White Sparks,7LF1XX9NNuvFtrRliJSEoh,0.574,0.0835,0.265,1
Not Alone,7tx0NDsCViutjOyd1c4A28,0.68,0.721,0.267,1
Reinventing Your Exit,591vJuuep0gfPhx9p8WPD5,0.45,0.978,0.268,1
Stay Here,69vYa2LVWv1TXvNIVNlJA1,0.432,0.839,0.269,1
Wash It All Away,6AKWOVOJ81OQfsgxZbJ6QN,0.485,0.987,0.272,1
Dust On The Ground,2SbIONplUQ0BvXyRgGDgCz,0.605,0.319,0.273,1
Bad Feeling,1qUaWLUot3Iik95S09cdSZ,0.512,0.352,0.275,1
United,27BMhzmPptTnpra962NgQh,0.643,0.957,0.281,1
Bloom Innocent,7zNT9GE070fYjnhx6TFWnQ,0.519,0.236,0.283,1
Thin White Duchess,0QevFRZ5eiXah4VZWeviK4,0.537,0.655,0.283,1
How To Fight,6ruBSXfnFc6raFDFm9YB3r,0.404,0.249,0.284,1
Shine,6YbVddGFPcfOVJrxhUusbV,0.428,0.873,0.285,1
Devotion And Desire,27O9FuS1UIm6ZyLplgLQAH,0.296,0.9,0.286,1
Chop Suey!,2DlHlPMa4M17kufBvI2lEN,0.419,0.934,0.286,1
Dawning,56ag77KIUFvxJhA1gdObsq,0.526,0.471,0.286,1
Someone Like You,6QPKYGnAW9QozVz2dSWqRg,0.554,0.321,0.288,1
Freya,0aaTrekfgJgLiH00lnPKm7,0.64,0.667,0.288,1
Stricken,4VGUcTzWj0ebZ0UgI9irJL,0.404,0.969,0.29,1
Alison,55CenVQ4alvDJ1PS8aYB0m,0.279,0.423,0.291,1
The King (with Dzeko),40UbcJWyWPqOWFvv4Dpvfc,0.655,0.726,0.292,1
My Way - Marcus Santoro Remix,29pQasEiyy3Otgq55dzyTt,0.563,0.882,0.296,1
Should Have Known Better,5I6y1KWmUoV5YCaIEcs1qs,0.571,0.172,0.297,1
ATTACK,6QxTWEvzcJljVZaeTzuHF1,0.331,0.876,0.299,1
After The Rain,2XBc2jWnvPqNO2LebVtLaY,0.456,0.0337,0.3,1
My Hero,7u5dBtASrtOuBTTZjJrvuJ,0.364,0.925,0.301,1
Blaster,1fMZR4DD2mE0iXginD9fOc,0.667,0.857,0.301,1
Lost Moon,5QlL4Rxjw3MQbx8Xvs75ts,0.448,0.591,0.303,1
Seven Nation Army,3m6KkYKdnbffMpGd9Pm9FP,0.745,0.466,0.303,1
The Mind's Eye,1igVdCr2mrzwu2lHxUbJWn,0.376,0.546,0.305,1
Pour Les Oiseaux,4NFa9tjhONF6lnu4SRbfG9,0.376,0.0879,0.308,1
Laugavegur,4nZSgFwgYUOyWcBX61JY6j,0.515,0.408,0.308,1
Kinky Love,3Uz3K1Ctq6MOIDqRddKHXo,0.376,0.277,0.309,1
Somebody - Josef Bamba Remix Radio Edit,5riuN21I50r717iOmCJ7Kr,0.67,0.88,0.312,1
Angel's Song,5hXTMmVXz1Ablgu34BkTz1,0.693,0.195,0.315,1
Sun In Our Eyes - Don Diablo Remix,1Cfws8y490Zpsqsyeme6V1,0.699,0.861,0.315,1
Lunar Eclipse,0n2X57zaddr0ODIxUb64Sx,0.632,0.469,0.316,1
Dolerme,2reL9PAUza4PUtbjqW1fRf,0.545,0.478,0.318,1
I Can't Help (with Sarcastic Sounds),1OdYu7mDO94ydUvfZPaPvP,0.714,0.4,0.318,1
Black Car,7ESnexsnylx85YfT6ZiSun,0.407,0.549,0.32,1
Adjustments,6w0vhPaZBYjhrDobs3QE14,0.532,0.541,0.329,1
All of Me,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,0.331,1
Children Of Today,2106G7MY2XnVyqij2bJVGH,0.507,0.836,0.333,1
Sinking Man - The Walking Dead Soundtrack,5Hd6DPGjqihEnWSiGRzqr6,0.684,0.0646,0.334,1
Sunspots,2yNeqUczAqpKSo8vFF00CR,0.379,0.499,0.335,1
South Beach,4GQVsXO7jkxg43UmAd1Tbb,0.501,0.887,0.336,1
Waiting For Tomorrow (feat. Mike Shinoda),27YP211Rr8RezhiFVDLFI8,0.507,0.887,0.336,1
Home,3Qsp2uAtcDCrrlknJtUPj8,0.544,0.932,0.337,1
She Remembers (Piano Solo),2UaXTR0Xv4SCDQ6wIlVNxC,0.619,0.0203,0.337,1
Beautiful Life,2s25Z079T5KRzfqEQRMQQ4,0.732,0.52,0.339,1
Siren Song - Radio Edit,1uGXhKyK50NIXNqBKN73DS,0.71,0.705,0.34,1
Mudshovel,6264zKFgXM13JuRBX4MMyD,0.328,0.826,0.341,1
"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,0.601,0.532,0.341,1
Trying My Best,06qUEhhx6jKQmhj2qAkn4H,0.561,0.0587,0.342,1
The Message,3oLJlBI7OveRtPOuMe4oaM,0.64,0.695,0.343,1
Guernica,7lUjs7bf1fjKI8HKhbNp6z,0.382,0.907,0.346,1
Blame,3TSZpRzSEKL1dFfpd1JDoF,0.612,0.68,0.346,1
The Choice,2IXJyG1DX93g2EhFXghz37,0.303,0.00338,0.347,1
Feels Like Flying,3mMd2MGvEIDAfMfvcb9wsC,0.416,0.11,0.347,1
Human Connection,1V17xHHZgIgZ6H14rinHdi,0.6,0.882,0.347,1
Don’t Delete The Kisses,1LomCMl5wD3MPVlC6smUHe,0.604,0.789,0.348,1
Darkest Hour,36I7pi5g6XZJm3bcgqmLyE,0.694,0.359,0.348,1
Getting Away With Murder,3YQopTaSSgLSSuzYBZ9bLf,0.544,0.97,0.349,1
Ring The Alarm - Stadiumx Remix,3LmiKN6q3OwFD3sV8rhkk2,0.625,0.994,0.35,1
Prayer Of The Refugee,3wTyLh0vhP3dN5yv0Mti17,0.198,0.977,0.351,1
I Stand Alone,6pGJTJaExyKwwXBmcoyVlY,0.211,0.921,0.351,1
Expedition,2MlnLVsrTJmHmdpzJQcQ6w,0.639,0.974,0.353,1
"Murder Song (5, 4, 3, 2, 1) - Acoustic",6MM22AtXB7I5gfTErMF0mJ,0.398,0.0887,0.356,1
Never My Love,4zRkmGHVgGGnJMhemMXD6I,0.764,0.245,0.356,1
Anthem of Our Dying Day,4sPJgy0CksvmXp9jC0W4gv,0.388,0.8,0.357,1
Fields After Rain,3OjwAIOhan5AIGS2p6fJrt,0.474,0.161,0.357,1
Easily,2k9N4caeCIJLOWwWwssrEM,0.772,0.256,0.357,1
Ambre,0suQ6B8Bsp0tFuCXx652Az,0.391,0.0576,0.359,1
Thirteen Thirty-Five,3N2vr4m44BBZiVCZ0O4bnf,0.67,0.293,0.36,1
Bruises,4Of7rzpRpV1mWRbhp5rAqG,0.736,0.308,0.361,1
The Dazzler,12oa6kHYN9FamPdcpSM54i,0.775,0.218,0.361,1
Stay Home,5NRWr6U9kBI3NP7Hr7fyy8,0.234,0.174,0.362,1
The A Team,2vBF8A6n0REigm7RSUM65S,0.626,0.286,0.366,1
On My Way (feat. Jordan Kaahn),0kDTkI3VN3LEObv3v3ehhY,0.661,0.93,0.367,1
Dear Diary,5AqPW3fH2H4ORBYTVwfHep,0.474,0.41,0.37,1
Toxic,34ccBqL3xNaCzPxr0UqoEw,0.555,0.98,0.37,1
Always,7kpa6MWRrPaF3b6C0DgioK,0.363,0.906,0.371,1
Humans (Let Me Love You),1IB1GFSTgmeecjscmAJ0lW,0.584,0.835,0.371,1
Swerve City,2OUR8g12h5qsGDs1v5lqvp,0.457,0.964,0.372,1
Go With The Flow,45DElIx0dXqUH4A88yQFdE,0.242,0.992,0.374,1
Night Moves,6UBjSnyP1O5W5ndJoO9vUk,0.705,0.743,0.374,1
Wish You Were Here - 2011 Remastered Version,1wHSxWBfPr3GO31y8KGrWe,0.481,0.262,0.375,1
Let's Go Crazy,0QeI79sp1vS8L3JgpEO7mD,0.309,0.93,0.376,1
I Took A Pill In Ibiza,1PiKcVhlmHPvL7IPjx9dJk,0.636,0.319,0.378,1
Good Vibrations - Remastered,2oF7FZHIJbzjeEXZ3D0Ku4,0.403,0.495,0.38,1
Trastevere,3rRL23xxAPJ75K3wGBKZIO,0.42,0.272,0.38,1
Dancing With Your Ghost,1TQXIltqoZ5XXyfCbAeSQQ,0.629,0.327,0.381,1
Our Lady of Sorrows,46mPWQpvSFkXrr5nWoWW74,0.271,0.931,0.382,1
Shimmer,6DzbmjkVZpz1mrDobAoJI8,0.263,0.784,0.385,1
Hunter,2NRZo1Y3T6UaVCz1i8dMqm,0.439,0.454,0.388,1
You Are Safe With Me,4t2XUVB63KvQWeAlAaaqAz,0.392,0.039,0.389,1
La Luz,6iQ6AKHlGjQTrpZIqfOtyK,0.559,0.441,0.389,1
Someone New,2GkPTpFLY0NG8jrAHPoSnn,0.655,0.794,0.389,1
Suds & Soda,0MaUnKwsHKRj4qjLDuBG66,0.149,0.79,0.39,1
Valse Lente,6eTQcsb7NrdgPIZAHchT9k,0.366,0.0518,0.39,1
Afterlife,4QdwsME04RG25KPHcPYoox,0.492,0.95,0.391,1
3 Corny Fuck,5YlHgqWo3Kt2mF88ubmR62,0.604,0.179,0.391,1
Nowhere Kids,08EI81e55Lcqg2ZelJOXcG,0.511,0.914,0.393,1
Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,0.394,1
"Welcome Home, Son",13PUJCvdTSCT1dn70tlGdm,0.601,0.537,0.394,1
Enemy,3eqyYjMYUHGlmtCP4C4iSX,0.572,0.99,0.397,1
The Hunger,7AaSbMyCeUxcGsvCmzmfEJ,0.436,0.753,0.399,1
Orbits,6jFX2sHOzh7tpIIOomlrqJ,0.438,0.404,0.4,1
Last Time,7v3tuzPub1Qd490tiVddwF,0.628,0.587,0.4,1
Holy Water,7Ga9ZSdPAcQXQvd1ObVFpm,0.587,0.734,0.401,1
Follow me,7d44sL4znFm5HZ6ltUVqbI,0.475,0.109,0.405,1
Take Everything,2L93hpsnJ8scBHIQFZzh1b,0.506,0.823,0.405,1
Better Than Today,6MLHg35rlksBc5OBcdZvJi,0.387,0.234,0.408,1
Listening,528rajP3OyhornDwrsQrt4,0.475,0.907,0.408,1
Green Street,4kjbflfFCcNWkBGWvYBSxz,0.373,0.191,0.411,1
Uprising,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,0.411,1
Need You - Ed. & Gustav Munk Remix,4cLXtRF6cIFGcuid2OLyUU,0.656,0.723,0.412,1
Thank You for the Venom,0BpKPyXhWsTaWkgXeOd1Sn,0.486,0.977,0.413,1
Lorelei,1MwGbyzRmPXWABLIdW8tzG,0.387,0.669,0.414,1
Mykki,1Lq9ieTRd9TtXXBh5y63E6,0.665,0.56,0.414,1
Do Bad Well (feat. Nevve),7zHrHnVSQwI95FGHewXDl8,0.604,0.894,0.415,1
Viva La Vida,5S6pYZD8WH3OQapDHTDM9M,0.485,0.619,0.416,1
Little Talks,2ihCaVdNZmnHZWt0fvAM7B,0.457,0.757,0.417,1
Fly - King Britt's Fhloston Paradigm Remix,69VbrwGah98lR7iuXkrk7e,0.614,0.498,0.418,1
Streets,265poZGWCyWo6h5tq7kiA6,0.376,0.771,0.419,1
Handful Of Redemption,3ekjqtjoDwy5YLuGtKoXDO,0.508,0.947,0.419,1
Renee's Song,13iMiwdY7pgE1f7NwYKr1D,0.593,0.229,0.42,1
Stupify,54cWVWqgyFukgDKQYmaKM3,0.597,0.939,0.422,1
Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,0.423,1
The Good in Goodbye (Alternate Version),4IUfRZY8k9MHRsStnjMTUb,0.709,0.299,0.423,1
Dreams Tonite,0DRvClQbN9znQ295sx76VC,0.511,0.622,0.425,1
Bottom Of The Sea,5OTdNMpl1EPr3tOLyyRIc3,0.775,0.66,0.425,1
Points of Authority,04mlpyRplis2yvf18EwaeN,0.512,0.97,0.427,1
Consequences,7sTtHHrD0zDpmzQzH3zegz,0.455,0.292,0.43,1
Crystal Baller - 2006 Remaster,0uESMJnrEKYnZoRbNTvmpB,0.379,0.695,0.432,1
No Woman,1CLmFKW99S8eJrebO3GB04,0.581,0.4,0.433,1
Stay,0Uon5NsSAkBDx69XYOaQ5P,0.618,0.37,0.433,1
Moulain (Revisited 432hz),0zNqfg3MpUGku4T6h2Pmab,0.424,0.323,0.436,1
Pressure,7f2d3p6nzGFR6874f0E7E7,0.708,0.863,0.437,1
Worlds Collide - Edison Cole Remix,3JqpIjrQfmW68YkpxXWPL4,0.631,0.862,0.438,1
Recording 15,1vNfYCzcCJz0FY7MVVA9lM,0.552,0.126,0.439,1
Little Lion Man,1QTixxvaGxwe6GF8PBwAve,0.515,0.496,0.442,1
Nobody,46SWSNRB3oAAOu21Apj22z,0.877,0.178,0.442,1
A Boy Brushed Red Living In Black And White,47IWLfIKOKhFnz1FUEUIkE,0.419,0.932,0.445,1
We Wait,3QeaXGKRvt8cfHdrfdk5pL,0.387,0.577,0.447,1
Count That - R3HAB Edit,1J1wnDwBjkFvDVOxNOLVjY,0.686,0.955,0.447,1
Car Underwater,4CilIy3dA3P9Tq2NFqKEOX,0.435,0.774,0.448,1
If You Think It's Love,3iiL6merNpFNX1bny9sfvM,0.432,0.34,0.449,1
Ghostride,6mnYXjuK0CDzqem4eR5JGU,0.664,0.352,0.45,1
pass you by,4NVwMupCTfITPXetR5aozp,0.51,0.355,0.453,1
My Favourite Game,4LpOPF5RXZhS1GLzclhyaT,0.594,0.766,0.453,1
Dark Side of the Gym,1OdpIb0nzhDcqwkiYp0O1u,0.642,0.475,0.453,1
You Can't Rely on My Love,6Nl2wvFyKjiyPKrhE4Rth1,0.686,0.775,0.454,1
Holding On,48H6uWuBYeeZUiXwb5f69K,0.421,0.935,0.455,1
A Place for My Head,5rAxhWcgFng3s570sGO2F8,0.603,0.908,0.457,1
Out Of Control,2Uk3uky365BBGidUpOtKvw,0.443,0.973,0.458,1
Wonderwall,79RUMZfMNMpqZnswovvTqv,0.412,0.844,0.459,1
Bottom of a Bottle,1XZrMIHtCVJPqK29Mzm44G,0.537,0.847,0.459,1
Romance,7Ky78y9gxAKlujRin3vzZf,0.716,0.644,0.464,1
Savior,3asFGFY3uLjMDmML1p0tYm,0.339,0.931,0.467,1
Voices,47H4oc7Zkihwae7ST7F4zp,0.589,0.983,0.469,1
Secrets,3PGYOWmCia5R4iLRnGHwyf,0.743,0.748,0.476,1
Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,0.388,0.338,0.477,1
Do It Again,5yzzy7Hevww3RDntQM5mG1,0.701,0.95,0.477,1
Without,4qguRyO5RJexa48AuRwkLZ,0.523,0.95,0.479,1
"Lola - Live at Providence Civic Center, Providence, RI - September 1979",3JbE6e17yvNdPggjPDrCyO,0.488,0.777,0.481,1
Pain,59P1nrdEImkAKa1nyW9X2e,0.523,0.833,0.482,1
All These Things I Hate (Revolve Around Me),6hZkQjIQBY7HAj4nzLUvdx,0.488,0.879,0.483,1
She Kind of Looks Like You,6dZO9UMcM7c1YLDBpEHwED,0.9,0.255,0.483,1
White Lies,0BvlCuNiWLE78NiZCiUxM7,0.336,0.88,0.485,1
Wished,4wIBISN9EpHsQI90SbLhad,0.445,0.536,0.486,1
i don't want to watch the world end with someone else,58qX77t2VWMWcycsh9zKLc,0.535,0.359,0.488,1
Youth,1JDMO4EVPHtm0xXhJb2IjR,0.588,0.477,0.488,1
Under A Killing Moon,0XiivUyimrmkUyJkKiILPW,0.414,0.988,0.489,1
Blackout,6yTnvHRhUuuaoxy4dHzLGo,0.548,0.864,0.5,1
Out of Control,13i7d4s5EkgOIDHdzM0R4w,0.328,0.799,0.502,1
Bat Country,6irNz2hSXvd2QJG0vXyBFR,0.541,0.968,0.505,1
White Lies - Guy Arthur Remix,1FoMWISq2KNqKappkrG5Yo,0.656,0.896,0.506,1
We Are Your Friends - Justice Vs Simian,49ErwcBYfYRPNBdRuPvpYA,0.615,0.97,0.507,1
Virtual Insanity - Remastered,0dCr3qIupWh36ilLjRHi4P,0.651,0.946,0.508,1
Roses,6bUNEbXT7HovLW6BgPCBsb,0.751,0.708,0.509,1
Click Click Boom,1LMVGL3030W3mGmRrd2hCm,0.607,0.935,0.51,1
Same Direction,7p5HBV5kqLgw0vK0lQ7eXM,0.401,0.988,0.514,1
Friday I'm In Love,4QlzkaRHtU8gAdwqjWmO8n,0.526,0.763,0.514,1
Still Waiting to Start,1yERtbTiF9fKGxaelyLJOA,0.615,0.332,0.515,1
Game Time (feat. Ninja),229MM2St7SnW43nT8ADlG8,0.534,0.957,0.52,1
Pink Rupture,3L47u91Y7YIGPpLPBrulh0,0.736,0.356,0.525,1
Never Be Lonely (feat. Envy Monroe),5vckEy9NZ6kirDU4UX4bVl,0.587,0.85,0.528,1
Whiskey In The Jar,77gY3WsOnEsq9JOWgBmdLj,0.511,0.972,0.532,1
Prelude in F,6CaQoqHFR0naK53v3jNGUT,0.461,0.272,0.533,1
Flex,43p1IlKF0PBgwkqzS2EdCk,0.609,0.912,0.533,1
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,15bAMg00o4VdWmQrlkbfG3,0.737,0.816,0.533,1
"Honey, This Mirror Isn't Big Enough for the Two of Us",5gNVTfD1L6QrPgOf0wFo0q,0.383,0.946,0.534,1
Silhouette,4riNlzZh1Xd4xqbIWy7zfM,0.445,0.469,0.535,1
Paperthin Hymn,6VSmHLLvYAAkzrYFT3LloU,0.298,0.597,0.536,2
The Wall,0Qp1IH1EkRCNabfgzxNMUT,0.682,0.91,0.536,2
Faces,2G7cxwbFSMneFgTMdnvICw,0.368,0.967,0.537,2
Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,0.613,0.953,0.537,2
One Step Closer,61fUybL3XS40gcffnnNPoX,0.492,0.969,0.538,2
Love Is A Losing Game,4IMBnBRqm9RALmLrRqfMor,0.48,0.561,0.541,2
Pass The Hours,4EVpdoFt3L6sAa4hivmWz9,0.778,0.639,0.543,2
"Ma mère l'oye, M.60 - For Piano Duet, M.60: 1. Pavane de la Belle au bois dormant",534nbCFk48DR1UQt2XlxSx,0.517,0.0145,0.549,2
The Hardest Button To Button,5vVwPth7ccUHil5wsUG7ky,0.692,0.515,0.549,2
Body Rock,3wcaYUOKVSEbmmGB43YGqf,0.627,0.944,0.551,2
Coming Undone,261QAU5PAmYYv0KPr0vc49,0.696,0.677,0.551,2
Such Great Heights,7vcuTZAFyu0Z5dgMRLR0h0,0.61,0.275,0.552,2
The Hell Song,2iyriVrfEXWD7YRfPqub7l,0.343,0.956,0.553,2
A La Plage,79NmiFAgcXUIVDGfCWDdWF,0.504,0.0584,0.553,2
Emotions in Motion,4UmpEQtTlhBOxDPePaK8qR,0.651,0.503,0.558,2
"Steady, As She Goes",2VAlwOewe5c40VHyqozF1V,0.534,0.605,0.56,2
Lift Me Up (feat. Carla Monroe),0vK80mtYypq4dAwQelZ2Dh,0.579,0.784,0.562,2
Winter Scenery,2F4iGuSSSRWpYCeWN4SoRr,0.79,0.179,0.562,2
Count On You - ATFC's C-thru Remix,7GL2SOvJXs8QVLX0cUADeq,0.825,0.925,0.567,2
Kinky Living,4eMoWR7Lughvru6Rn97uPi,0.526,0.493,0.574,2
Electronic Memories (feat. Mickey Kojak),2viJufnGlsjR1X51CEHpeg,0.602,0.926,0.574,2
You're My Best Friend - Remastered 2011,4vEXJ6NvEwS8ptynkNswaa,0.518,0.761,0.576,2
The Hummingbird,60Rodg2E5ghUbYBrBFr0TA,0.478,0.901,0.577,2
Algo Rhythm,0PqJ7LSknltqqMNqPDClNA,0.402,0.75,0.58,2
A Little Less Conversation - JXL Radio Edit Remix,4l2hnfUx0esSbITQa7iJt0,0.586,0.935,0.58,2
Spirit In The Sky,7fqhrLJzKHJ0RW32N0y2Gp,0.537,0.606,0.582,2
All in the Suit That You Wear,17Nk1aji6gd26vabky7fMi,0.429,0.982,0.583,2
Bleed American,61XspFITuKmAlYdQacNCbF,0.438,0.938,0.584,2
Somewhere Only We Know,1EwyAL8SdJpIX0M9b1ArAp,0.472,0.305,0.584,2
99 Luftballons,6HA97v4wEGQ5TUClRM0XLc,0.466,0.438,0.587,2
2 Together,1JO1xLtVc8mWhIoE3YaCL0,0.584,0.367,0.588,2
Back Where I Belong (feat. Avicii),78W8wiUIlQ2SnWY9TVowKZ,0.497,0.865,0.595,2
Watersong,60kgQtJNMGRaFfzwy18XUY,0.656,0.102,0.595,2
California Dreamin',63rva3TBizr6x1Yp5uwKfD,0.554,0.667,0.597,2
Simple Song,70HWRkitkAKfos500LBk0T,0.631,0.402,0.598,2
Outside,7Cx3kiPstZOSKAqTe3LtEi,0.637,0.613,0.598,2
Beautiful Night,4zhRVs7eqgdroy5E3kKEs2,0.531,0.892,0.599,2
Don't Stop Me Now - 2011 Mix,7hQJA50XrCWABAu5v6QZ4i,0.563,0.865,0.601,2
Chocolate,4WiiRw2PHMNQE0ad6y6GdD,0.614,0.938,0.607,2
comethru,18uwL0vNUanqZH0ro2QcOP,0.795,0.178,0.608,2
Dragula,6Nm8h73ycDG2saCnZV8poF,0.591,0.963,0.609,2
Butterfly,4BggEwLhGfrbrl7JBhC8EC,0.736,0.811,0.609,2
"You're Gonna Go Far, Kid",7oypoJJHZOALqQlGKpTefk,0.547,0.877,0.611,2
Rusted From the Rain,0tzWCL2uhb2xQDWgG259nU,0.431,0.858,0.616,2
Heavy,3vqt0fEt6I52ANHu7mAlIP,0.535,0.854,0.618,2
The Safety Dance,5O4NFbDqJ8SOfbjnIhdPDt,0.524,0.881,0.62,2
Feeling This,26AYR77170U49cMcXB7aRV,0.411,0.962,0.622,2
Hash Pipe,2mPMFJvQ0v27gVqe5b6nDn,0.578,0.882,0.623,2
Just the Two of Us (feat. Bill Withers),1ko2lVN0vKGUl9zrU0qSlT,0.803,0.488,0.624,2
Tubthumping,6dL46HEj2hzaSach8EFyCi,0.319,0.881,0.625,2
1999,2H7PHVdQ3mXqEHXcvclTB0,0.866,0.73,0.625,2
Teenage Dirtbag,25FTMokYEbEWHEdss5JLZS,0.625,0.85,0.633,2
Edge of Seventeen,2id8E4WvczfKHB4LHI7Np3,0.59,0.828,0.636,2
I Would Die 4 U,6fBwVe6udYdnRqwqo06if8,0.731,0.75,0.639,2
Crazy,1vxw6aYJls2oq3gW0DujAo,0.855,0.587,0.64,2
Dancing Through Sunday,4O5GKVbnQ8U9BxYWu0hIug,0.555,0.98,0.643,2
Vagabond,5gDZbPycrRPF5mC4voMg89,0.545,0.788,0.647,2
I Don't Know (feat. Samuel T. Herring),2rx8InAMTVDeZdkLUWHDmA,0.389,0.52,0.654,2
Supermarket,2K1OMOjqHBoJf3NT4J6meQ,0.588,0.352,0.655,2
Better Together,4VywXu6umkIQ2OS0m1I79y,0.868,0.347,0.659,2
Inside the Fire,1xHcapGIorRGVlBnWE7X4N,0.463,0.962,0.66,2
Killing In The Name,59WN2psjkt1tyaxjspN8fp,0.466,0.833,0.661,2
Papercut,1Vej0qeQ3ioKwpI6FUbRv1,0.524,0.939,0.661,2
Break Stuff,1rJ1xX2XBC8nesYapeO6Av,0.45,0.877,0.663,2
Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh,0.577,0.756,0.663,2
Poem,7mQwxVogsnpR3h6AJLQLlR,0.364,0.912,0.666,2
Daar Gaat Ze,7kMPC3vgXk3o9xUP3GWAJ0,0.639,0.492,0.666,2
Kiss You All Over - Single Edit,1wHkIswzW9zGCOLDBYbHFL,0.696,0.824,0.667,2
Indigo,2qoKkOBw3dAd8AlITOQ2Ca,0.503,0.504,0.67,2
No One Knows,0melIwOKh1JH4RjI1Is10w,0.509,0.583,0.67,2
Like The Way I Do,38TXeCvUUqf3PeoPvnERV6,0.591,0.931,0.673,2
Out Of Control - Pat Vocal Mix,6wCsrMyI3DavGvodBx8A7h,0.864,0.742,0.689,2
Lovely Day,0ACACkoHUwgfgY5CxVIL4N,0.693,0.565,0.692,2
Groovin,3ktUAf5M4HiCt6n7Zb323H,0.845,0.744,0.694,2
Crawling In The Dark,1eK4KsyjAzr2xJ86Tj5SWa,0.592,0.932,0.698,2
Into Black,5d8pKJxoDlYX2SoFR6RCsm,0.705,0.681,0.707,2
There For You,4Qv71lFPCObf7zol1uWCJb,0.533,0.844,0.712,2
Promise,5mqEL5pgnDCcWtTWpAofIV,0.62,0.85,0.715,2
Rylan,18IyalmZGqUTwvZStMf7A1,0.609,0.789,0.717,2
War,3h1in20DlO5KaSP1vLED90,0.641,0.806,0.721,2
Gasoline,4e7yuouxvWPbK1q2kVlgz8,0.478,0.942,0.726,2
Mr. Jones,5DiXcVovI0FcY2s0icWWUu,0.578,0.817,0.726,2
2 Ending,1qv9TWDpXh50DPLgWD4bnH,0.635,0.808,0.726,2
Still Alive,3Y6wj6dRP3QmgXeV2zCzbn,0.65,0.912,0.729,2
Dani California,10Nmj3JCNoMeBQ87uw5j8k,0.556,0.913,0.73,2
Crazy Horses,6LqbJXriVJyqJCd9jYoPqP,0.512,0.977,0.731,2
Africa,2374M0fQpWi3dLnB54qaLX,0.671,0.373,0.732,2
Smile,79z9QkhHePTFsSeVw9uyj0,0.632,0.639,0.733,2
My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,0.494,0.946,0.741,2
Up Against (Blackout),7dx3zyB8aQHd2LQm0u1lwS,0.549,0.876,0.741,2
Kiss,62LJFaYihsdVrrkgUOJC05,0.898,0.271,0.742,2
You Get What You Give,32lF1rsInDTdK6Av3KdfaY,0.621,0.901,0.744,2
Send Me on My Way,6hs3SDnbO3f6VQuPO4KBEb,0.5,0.681,0.745,2
UFOF,0DZfBeJhOPyjhqoaTkE3kZ,0.623,0.613,0.745,2
Somebody That I Used To Know,1qDrWA6lyx8cLECdZE7TV7,0.865,0.521,0.748,2
Every Way,4xxyCh7xkK30LVBO81poif,0.879,0.908,0.759,2
