Song,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence,ratings
Night on Earth,2OAOS8qkuKu5Kd8TvA5BAA,0.0656,0.268,340768,0.494,2.61E-05,4,0.123,-7.219,0.0321,102.065,0.136,0
Images,4sqIHHGPprOZNdW5zMx36p,0.993,0.387,163666,0.00579,0.929,7,0.136,-21.823,0.0439,111.991,0.137,0
Flowing,06G5MnuMA3cLbNwjFs8zIS,0.896,0.2,131116,0.138,0.929,0,0.207,-20.417,0.0301,71.631,0.138,0
Momentum,7Ln0DgKSrDG0ALbtNwGeml,0.891,0.636,178741,0.248,0.922,4,0.106,-17.313,0.0309,117.006,0.138,0
The Times Are Tired,1c6aKOdOoR1TFqn0JTyc4R,0.792,0.216,242466,0.195,0.93,8,0.102,-14.026,0.0382,61.555,0.14,0
If You Believe,0QurRfrHz1RGbdPpTx7lLV,0.937,0.575,183428,0.202,0.441,8,0.103,-18.544,0.0444,139.943,0.142,0
Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,6chZg1OMXz9VN3MQCr4cNf,0.237,0.619,228666,0.663,0,7,0.111,-6.937,0.0366,123.93,0.142,0
October Rain,2jdeYpaoWR0VMIyKrgQMQE,0.992,0.187,177077,0.014,0.923,9,0.0925,-29.31,0.0418,69.012,0.144,0
Crystal Shores,0gUAGl4nHShy1dzHikQKKU,0.958,0.482,170958,0.0257,0.923,9,0.104,-26.303,0.0323,109.98,0.144,0
windcatcher,59VApBbrS2IADQk4ml5mdo,0.961,0.402,123066,0.236,0.919,0,0.0921,-20.615,0.0603,129.736,0.146,0
Deep Dark Jungle,0FTDvOs2mzgHAqL31PBXO5,0.000405,0.587,145714,0.97,0.772,8,0.202,-4.512,0.216,128.069,0.146,0
Lights Go Down,2shD8wlebq8fDg6ChqOPkC,0.00254,0.741,155520,0.812,0.104,1,0.301,-5.356,0.039,124.991,0.146,0
Mind-wanders,4sYNRSlV9pGInYcbsC18Jz,0.959,0.312,207500,0.0185,0.901,9,0.111,-25.607,0.0437,176.972,0.147,0
Strange Dreams,0YXPmthF2oHLQCYIGkSrZy,0.988,0.308,133918,0.0229,0.819,9,0.0935,-26.941,0.0406,145.717,0.148,0
Parabel,4IrzpCIP60bro2wkBq5dIi,0.976,0.354,133000,0.0214,0.903,6,0.0957,-32.492,0.0388,112.008,0.148,0
Marbles,4iVWQTuwKG4JKtGOjx6T9V,0.0934,0.49,269866,0.521,0.862,2,0.266,-9.601,0.0295,107.778,0.148,0
Alive,2rPJcL8gQauA2nBdRyNZZL,0.00248,0.494,180468,0.847,0,0,0.0502,-3.996,0.0537,129.909,0.148,0
Sahara Love - Seven Lions Remix,6KjTXwntv8paBCL3El9TnV,0.0418,0.275,322892,0.659,4.15E-05,6,0.079,-5.631,0.039,144.908,0.149,0
Let It Out,72rHjyz3i7K90Hk1eF1f0c,0.381,0.596,213173,0.528,0.859,2,0.205,-12.481,0.0289,117.041,0.15,0
the theme song,3n2QaRyg5nTg5Cwwq5mw3Q,0.986,0.604,159840,0.03,0.952,0,0.105,-27.007,0.0386,117.781,0.15,0
Inside*,3GuzB4BEWq3bhZM8YydysZ,0.99,0.266,106573,0.0028,0.889,7,0.0933,-33.729,0.0493,132.581,0.151,0
Pierre,1qlVrqeX158nz91Z72lzaa,0.989,0.356,182000,0.0499,0.943,11,0.135,-24.949,0.0407,67.11,0.153,0
People Help the People,6XRNCAnxJIB1p4RPdFVSq0,0.778,0.407,256236,0.308,1.46E-05,10,0.092,-9.001,0.0296,73.254,0.153,0
Old Rain on a New Day,5P8BZ67Vw2CUwAYi12yvYj,0.971,0.286,225500,0.14,0.892,7,0.134,-16.496,0.0346,119.191,0.154,0
Where Your Mind Wants to Go - RONE Remix,4pODZqgdj6Iwci7jruY5xf,0.333,0.651,336481,0.848,0.763,10,0.101,-8.941,0.0458,119.977,0.154,0
Fields Of Blossom,0BEkkhhqcCNx6VLMtshOiT,0.98,0.42,197800,0.135,0.941,4,0.0974,-20.518,0.0815,118.9,0.155,0
Mad About You,5drK2kTE2mrUdV33iHWyrx,0.00109,0.465,223733,0.844,0.399,1,0.0865,-4.352,0.0379,170.358,0.155,0
Machinehead,1iTzI4NSQNLIETWDJ1WNWi,4.24E-05,0.15,256360,0.875,0.00103,9,0.0957,-7.27,0.0975,169.806,0.156,0
Time Travel,2ENH05Q7PkilEF6WujXNjG,0.965,0.502,160788,0.289,0.913,8,0.153,-17.378,0.0307,137.926,0.156,0
Summer Boredom,1B96GJer0xmo0t9rZg5V4c,0.994,0.496,150031,0.0281,0.951,2,0.0813,-24.864,0.0372,72.124,0.157,0
Kite,6a8U8DihiuewRpRQ2OOCVU,0.973,0.534,110714,0.019,0.896,7,0.108,-26.071,0.0413,115.917,0.157,0
All I Want,1XczdQt6RKNkEQfPqUsi3q,0.113,0.189,306600,0.427,0.0923,0,0.058,-9.08,0.0449,187.212,0.158,0
Gracewood (Revisited),1TSpCeUusXyZ7FiaDuy3x1,0.969,0.353,139050,0.0544,0.915,8,0.106,-22.657,0.0408,74.883,0.158,0
Welcome Home,42GP0xKtkolBnmqQRvSllO,0.00648,0.442,374973,0.951,1.12E-06,11,0.0887,-5.27,0.11,154.004,0.158,0
Fix You,0x4CFzoSdqVq5qTGgwZFuX,0.671,0.5,240000,0.185,0,1,0.0827,-13.209,0.0302,140.148,0.159,0
Your Turn Now,6Ij1Soe86rp6D9YsxwCz9N,0.819,0.634,239500,0.193,0,7,0.113,-9.503,0.0277,95.004,0.159,0
Words I Heard,12nUGGcjJgQYkGawzk0rJp,0.228,0.124,399012,0.347,0.00325,1,0.147,-11.392,0.0335,76.868,0.16,0
Nazareth,2cRD4yq8e8wd6PxS0zhuW3,0.995,0.378,146125,0.0181,0.881,8,0.104,-31.001,0.0552,86.533,0.16,0
Mindfulness,3EQPb4sdkNPCHb6AMyUTXj,0.992,0.692,207554,0.00643,0.847,9,0.0452,-34.388,0.0553,105.987,0.16,0
Story Of A Violin,3JjPOBCCKmvtgSsVIDqFDl,0.0125,0.548,154692,0.864,0.287,11,0.818,-6.835,0.0881,128.196,0.161,0
Unintended,6kyxQuFD38mo4S3urD2Wkw,0.647,0.487,237026,0.279,0.00185,6,0.11,-11.586,0.0265,139.362,0.162,0
coeur noir,0JsYp2UosjQpePYbHCvXWZ,0.926,0.235,262280,0.233,0.89,11,0.069,-21.173,0.0712,66.866,0.164,0
Eidolon,6KuzTwyczjBp1C4f60Y5ID,0.862,0.553,257668,0.24,0.946,10,0.0932,-19.522,0.0304,128.986,0.164,0
23,4HIwL9ii9CcXpTOTzMq0MP,0.0189,0.381,318800,0.832,0.196,8,0.153,-5.069,0.0492,120.255,0.166,0
Cursive,5Iy1wdO0tMaHwKnfFYtlel,0.935,0.494,240400,0.267,5.58E-05,0,0.128,-11.54,0.0308,115.117,0.166,0
Sintra,0b6iQfSLnYGz5VCzwndLz9,0.984,0.395,201951,0.147,0.909,2,0.0724,-19.174,0.051,164.176,0.167,0
Boiler,5UaOg4eymp98fxKyx6SHmB,0.00393,0.443,420266,0.722,0.0155,6,0.0373,-6.326,0.0865,111.324,0.167,0
Billinghurst,6B2jQL05apmJlDZtPIxD3R,0.0305,0.769,456585,0.701,0.85,5,0.0929,-9.089,0.062,123.011,0.168,0
Rayons de soleil,13SBuUaDElB4vowkW6nQxk,0.987,0.315,245200,0.102,0.954,11,0.104,-22.435,0.0423,63.679,0.169,0
"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",4QNjuUkLHj47tEXgA6TFc3,0.995,0.274,372173,0.00332,0.909,1,0.175,-41.45,0.0424,67.765,0.17,0
Falling Away from Me,2F6FfZ4w8z3eJpSxPotVO5,0.00014,0.468,270920,0.769,0.00124,4,0.271,-7.036,0.041,104.102,0.17,0
Dancing With an Astronaut,43cElHKBLhVdsz0cPETPIj,0.487,0.516,168141,0.407,0.0235,9,0.252,-7.841,0.0283,74.894,0.17,0
Teardrop - Remastered 2006,1ZekzmhuM380sFcUZePjmL,0.0204,0.612,328026,0.463,0.653,11,0.183,-7.653,0.035,76.98,0.17,0
Universe,0VrJzyZPEkz3VliJoU3w6A,0.994,0.623,250987,0.134,0.935,5,0.192,-18.953,0.0478,62.562,0.171,0
Keep Going,4Hhup3YZfajcC7O0DNbwCq,0.994,0.385,200527,0.305,0.949,3,0.109,-12.044,0.0466,74.024,0.172,0
A Burden to Bear,67DOFCrkcQaLp5yhzF8Y8N,0.995,0.394,129410,0.0475,0.955,6,0.105,-26.432,0.072,71.241,0.172,0
Beekweide,199PI6mx1IFrDk8ZMtNTyX,0.984,0.321,219215,0.11,0.963,8,0.115,-23.63,0.0345,73.914,0.173,0
K.,6vG1pcmNGdG6Vu62I9nLGL,0.962,0.348,269000,0.226,0.00483,3,0.135,-10.918,0.0386,129.251,0.173,0
Curiosity,3WEdWvAScE1EcBfErseQnC,0.985,0.43,155820,0.256,0.867,2,0.106,-22.088,0.0641,133.955,0.173,0
Light Years,0dcKsPZVWa64MvnoCes49q,0.95,0.544,213373,0.316,0.7,4,0.0978,-11.666,0.0307,124.989,0.173,0
blue,7pt64sepCy5QmDrgy9wOJS,0.668,0.725,184500,0.258,2.63E-05,11,0.0955,-14.065,0.255,127.876,0.173,0
Frozen,4nTeeVQnNghbWWo6k7oPrH,0.986,0.352,166000,0.0246,0.928,9,0.107,-27.226,0.0419,78.809,0.174,0
Snowfall,51USOvxeXLH3EvL3RwWJp7,0.984,0.437,164703,0.0747,0.914,1,0.109,-20.209,0.0648,117.078,0.175,0
Tilted Towers,5hdAQegqnitMjNacfLOHQd,0.000771,0.702,259475,0.842,0.828,7,0.28,-5.059,0.0331,124.01,0.175,0
Shifts Of Light,0KN1zd8K3MTPQyix892mCf,0.931,0.455,261613,0.216,0.921,3,0.0839,-20.107,0.0363,171.936,0.179,0
It Takes Me Back,07FUh3cxCPNQFIIp8aSWCy,0.902,0.487,142200,0.111,0.000107,5,0.35,-11.608,0.0356,87.161,0.179,0
Midnight Sun,6qTP59Amjny78Qd8zayuNW,0.0574,0.614,145039,0.98,2.51E-05,3,0.086,-3.61,0.199,127.062,0.179,0
Harvest Love,2KK7OUblFkd7TT9TjWgW7z,0.314,0.276,365928,0.251,6.05E-06,2,0.122,-9.078,0.0295,95.705,0.18,0
Video Games - Remastered,0fBSs3fRoh1yJcne77fdu9,0.811,0.236,281960,0.249,1.00E-06,6,0.087,-9.595,0.0348,72.847,0.181,0
Bye Bye Little House,7AQKjpzLGVBKvTDyoJ7YVK,0.985,0.31,202405,0.0313,0.94,10,0.263,-23.55,0.0325,92.857,0.182,0
While the Rest of the World Sleeps,4Hi0t9QQODb9k3aSM8SFb6,0.988,0.423,231841,0.0442,0.947,11,0.108,-21.088,0.0378,73.407,0.182,0
Hollowman,3MOdqpj30w4Wk96bBwLJk9,0.000214,0.502,303013,0.92,0,2,0.306,-4.588,0.0611,159.884,0.182,0
Before You Go,2gMXnyrvIjhVBUZwvLZDMP,0.604,0.459,215106,0.575,0,3,0.0885,-4.858,0.0573,111.881,0.183,0
"John Wayne Gacy, Jr.",2gFBh7NnEfSeBoZZDB5d2C,0.917,0.463,199920,0.179,1.73E-05,0,0.12,-14.852,0.0402,80.747,0.183,0
One More Night,0Ov2L3hgjc5TlxKuBpKOQK,0.00402,0.62,180972,0.897,8.56E-05,11,0.108,-3.595,0.086,126.013,0.183,0
Samson,2bbhyUWJ5VjdfI3P4PRLu2,0.862,0.49,189335,0.193,9.74E-06,11,0.113,-9.544,0.0421,89.154,0.184,0
Wish I Was Better,1kAkUHFb7ryeVkVSRD6Nkj,0.747,0.732,140571,0.304,6.13E-05,0,0.143,-13.086,0.111,139.965,0.185,0
Everybody Hurts,0sSxUKtpE11r5VVx1DIMww,0.568,0.282,316880,0.476,0.0185,2,0.157,-6.524,0.0274,187.604,0.186,0
Goodbye,4VxaUj96W2jw9UOtKHu51p,0.406,0.484,256786,0.457,0.646,1,0.297,-13.976,0.0456,87.159,0.187,0
Andromeda,0L6lVIgGqVHnmR3BIy8GHa,0.367,0.463,280186,0.462,0.0012,1,0.356,-7.94,0.0272,131.273,0.189,0
Summer-Blink,66epoq09V61hukB4Sdm3Q4,0.168,0.491,189653,0.599,0,5,0.166,-6.741,0.0274,80.048,0.189,0
Transatlanticism,3PJikMV2xGNCooQttQrAw5,0.393,0.443,475093,0.466,0.647,9,0.165,-9.209,0.0302,127.493,0.19,0
The Calvary Cross,65IP0rTvP6hFkIUNODG2VK,0.675,0.661,306893,0.425,0.13,9,0.104,-10.317,0.0312,114.042,0.19,0
Quick Canal (W/ Laetita 3ier),2mJhNvt2dDCfcNn8IZg6sF,0.169,0.299,518373,0.541,0.795,7,0.132,-10.641,0.0513,142.724,0.191,0
Escaping Time,7JrSIPcfkWhDzxWII8Jz7V,0.64,0.32,200346,0.256,0.862,10,0.112,-17.98,0.0445,115.011,0.191,0
yellow is the color of her eyes,4D3nttJPU6L0M2epr7sId6,0.757,0.452,435080,0.515,0.12,11,0.14,-7.351,0.0255,80.537,0.191,0
When They Come,100jBpD7nuiMriR7ErXQ9S,0.922,0.501,262000,0.378,0.825,6,0.115,-14.959,0.0269,108.034,0.193,0
ID8,2jxfHzOYVLmGKejNRHvqoc,0.0198,0.576,197183,0.948,0.000123,9,0.683,-4.251,0.0898,128.029,0.193,0
Dancing On My Own,02WacdrRpm4zlP8H7X6bnQ,0.851,0.608,260004,0.174,1.92E-05,1,0.0855,-8.796,0.0332,112.175,0.193,0
Duality,61mWefnWQOLf90gepjOCb3,0.000237,0.354,252613,0.982,0.000294,4,0.204,-3.026,0.168,143.772,0.194,0
Say Days Ago,0fcGdkaMVaJtPuYLB6bXRx,0.00022,0.362,197866,0.979,0,4,0.459,-4.262,0.205,89.431,0.195,0
Away From Me,4wzaTdhmBgpch7IXu3CskA,0.00061,0.396,238466,0.93,0,8,0.168,-2.939,0.1,154.777,0.195,0
Found,2T2EemW8X3GlKvJe1gxpBC,0.901,0.517,159049,0.397,0.867,0,0.11,-14.281,0.0289,100.005,0.195,0
Falling Asleep,1FunUekKzZ9Mgt3BMYCrfF,0.899,0.537,202400,0.201,0.00163,2,0.077,-12.948,0.033,134.087,0.196,0
Retrospectacular,58Z8R4KZPbfTc6KVYZLwTb,0.81,0.368,200000,0.293,0.864,9,0.11,-16.379,0.0346,119.977,0.197,0
Stormy Weather,7oXWUVH2t0UR11AvhhY8GQ,0.00308,0.444,150169,0.382,0.816,2,0.0915,-9.324,0.0397,123.59,0.197,0
when the party's over,43zdsphuZLzwA9k4DJhU0I,0.978,0.367,196077,0.111,3.97E-05,4,0.0897,-14.084,0.0972,82.642,0.198,0
Oceans,7Cia4WzapwjMr0NUQF8vf3,0.274,0.404,216186,0.48,8.63E-06,9,0.132,-8.906,0.0303,129.162,0.2,0
Older Than I Am,15VDHAMS4JCLziCjNkmQl1,0.891,0.44,181533,0.306,0,9,0.103,-8.947,0.0363,117.288,0.201,0
As I Sleep (feat. Charlee),72qlZsoVPpyFxVjL6GUuYI,0.0195,0.694,193471,0.824,0.0426,8,0.327,-6.306,0.161,123.014,0.202,0
Paradise,6nek1Nin9q48AVZcWs9e9D,0.0522,0.449,278719,0.585,8.49E-05,5,0.0833,-6.762,0.0268,139.627,0.203,0
Heaven - David Guetta & MORTEN Remix,4QAUGy6k7c3IOAhgWz52r7,0.00292,0.572,215238,0.934,0.0198,6,0.105,-5.053,0.0446,125.948,0.204,0
Trees - Solo Piano,2SDxYHBST2s6dGodsgnNbM,0.957,0.282,174890,0.0717,0.919,5,0.0996,-25.816,0.053,163.128,0.206,0
you were good to me,4CxFN5zON70B3VOPBYbd6P,0.913,0.561,219146,0.0848,2.62E-05,2,0.112,-15.099,0.0404,102.128,0.206,0
Sleep,7C0naD1GsrGZTKGMbg7m7I,0.843,0.55,228873,0.596,0.462,10,0.15,-8.962,0.0335,143.182,0.207,0
Throw Me a Bone,5fw57RymBIg7ys4M8tWJ5H,0.585,0.516,147248,0.487,0.0507,5,0.168,-10.55,0.0331,96.204,0.209,0
Living,4ytv5Yzyal3LzKyMjRXjse,0.14,0.46,279826,0.59,0.591,6,0.112,-9.375,0.0327,118.008,0.212,0
Saving Daylight,0rDXZpaDpGMbT8ON1DxEtT,0.456,0.526,206820,0.385,0.922,0,0.0935,-13.755,0.0296,120.008,0.212,0
Breathe Me,7jqzZyJJLrpkRFYGpkqSK6,0.0364,0.552,272800,0.643,0.74,0,0.105,-7.36,0.0327,120.012,0.212,0
Losing You,5aFSzu0b7ccAYjTkbTNTsQ,0.63,0.383,205859,0.446,0,0,0.0946,-8.693,0.0382,77.399,0.213,0
Petrichor,22KKy6ftT0i4nyGNCbwc1B,0.937,0.319,118321,0.122,0.905,4,0.167,-16.69,0.0373,70.263,0.214,0
Suhpratti,4A6C6K8c8IukPda2f0rI8J,0.974,0.564,186542,0.0515,0.765,11,0.114,-15.118,0.0338,93.961,0.214,0
Little Things,29IRVQao62okE22TDamSnm,0.000229,0.367,264293,0.915,0,7,0.184,-5.453,0.0682,112.642,0.215,0
Open Fields,24CJS73HBvYtVguUZBnyAn,0.97,0.491,183181,0.197,0.916,4,0.214,-19.261,0.0298,132.106,0.216,0
Rise (ft. Matluck) - Thomas Gold Remix,24fghf9YPlSHoWKNHign8p,0.0071,0.501,225937,0.784,0.000257,7,0.155,-4.292,0.0417,128.052,0.216,0
Wolkendans,3BuuxHhwQ4AQvDA9dzvSry,0.996,0.38,120029,0.0355,0.91,0,0.115,-27.118,0.0465,179.205,0.22,0
Lay Your Head On Me (feat. Marcus Mumford),0oB9964bp22Bmok0Dmxlzb,0.0471,0.658,199895,0.765,1.02E-05,11,0.0936,-7.002,0.0469,119.974,0.222,0
Bad Timing,2KSCegx6TosQQEgmhJKNQa,0.689,0.471,254886,0.289,0.000535,6,0.0865,-9.784,0.0258,146.352,0.225,0
Linger,7zWQ9qz0vAK75QBTGLZ0Wb,0.0122,0.54,262375,0.574,0.000658,7,0.226,-7.006,0.0232,94.975,0.225,0
The Temporary,5g5dwJD6zwXG81LRdEsnQr,0.292,0.549,219018,0.524,0.0366,0,0.122,-8.288,0.0261,94.991,0.229,0
All Mirrors,4ZQdynvfiayhdoq5lcuCQ1,0.00299,0.429,282026,0.689,0.00193,7,0.152,-7.38,0.0379,105.04,0.23,0
North Captiva,32dZxkZtsF5Vt3PrJQuV2i,0.918,0.479,194495,0.346,0.929,9,0.111,-17.916,0.0306,143.965,0.23,0
Rescue Me,7DP18u679fMurjsUxuxMHu,0.069,0.494,187382,0.739,0.000368,6,0.0664,-4.61,0.0427,128.007,0.235,0
Wonderful Together (feat. Envy Monroe),3UaStdVN7y9A6ktTmkFDTk,0.0484,0.591,203076,0.759,1.23E-06,5,0.108,-3.785,0.0404,130.043,0.235,0
Riverside,1UmFRZU3taMGZApPhK32mc,0.985,0.648,228546,0.177,0.000353,9,0.134,-13.474,0.0311,99.101,0.236,0
Courage,0gj8zftpww3PXx8xea7Ygn,0.994,0.635,162083,0.0302,0.952,1,0.107,-26.234,0.0401,83.222,0.237,0
Atlavík,6WdO6Ds95sLALCqCOfbDQh,0.867,0.535,155733,0.147,0.797,2,0.0825,-25.141,0.0382,126.823,0.238,0
EDM Sux,6AlzF33SOFB8vfrmABo0jV,0.00775,0.653,155625,0.907,0.82,7,0.342,-5.877,0.11,128.079,0.238,0
Crash,1FXlhqcYaiw6KuUYtXdtAi,0.000455,0.689,232981,0.456,0.882,2,0.07,-12.307,0.0339,126,0.238,0
Venom,4EvAP7MWnjDMkADXXEuF5t,0.159,0.357,194500,0.851,0.866,2,0.146,-6.103,0.0534,130.013,0.241,0
Quiet Room,5uTfZTuLLGbq1qFYwzg7jX,0.995,0.374,156413,0.068,0.934,11,0.119,-21.842,0.0517,66.01,0.241,0
Litost,0bMcjygjhkTVB8T4r3xCde,0.988,0.383,152456,0.101,0.919,0,0.102,-18.306,0.0427,119.709,0.242,0
Watching Clouds Disappear,18HZyQSQdmtxv5i9YSHJTw,0.99,0.495,142861,0.0191,0.902,5,0.113,-26.317,0.0362,112.814,0.243,0
Juliens Journey,0DVw5GHPCUImZ8VmRdlbmx,0.994,0.578,219213,0.0154,0.945,2,0.0799,-24.126,0.0987,123.953,0.244,0
Free,6s2T9kuNYNZKsG5Fa1LiDN,0.0238,0.481,228971,0.922,0.00185,3,0.0971,-4.17,0.064,127.931,0.246,0
Let It Go,13HVjjWUZFaWilh2QUJKsP,0.818,0.546,260533,0.311,1.65E-05,1,0.107,-10.396,0.0288,147.464,0.246,0
Fantasy - R3HAB Remix,3iGMErA58MMTYT1mBkUkRf,0.113,0.7,188346,0.751,0.00129,4,0.241,-3.853,0.0566,124.027,0.246,0
Telling Tales,3AfZWVkAf2ipi68BMVvfwq,0.0262,0.425,252499,0.555,0.284,0,0.206,-11.806,0.0287,108.991,0.247,0
Isonoe,4sP8BZIZKGVq6jHOSPF17A,0.983,0.365,159045,0.119,0.919,7,0.112,-20.962,0.0405,147.573,0.249,0
Anthem,1SSAvErVyid5OXzmtGZKkg,0.00152,0.664,158483,0.86,0.894,7,0.197,-4.505,0.0345,121.991,0.249,0
Essential Attitudes,0T3UHut7JmCi5jcgYiMawm,0.449,0.444,217987,0.497,0.722,5,0.081,-12.601,0.0383,99.093,0.25,0
Video Killed The Radio Star,7o7E1nrHWncYY7PY94gCiX,0.103,0.68,252773,0.678,0.00828,1,0.204,-11.548,0.0754,131.165,0.251,0
Bloom,5DP6ow4t5Mmfge0fMRhSJD,0.945,0.249,121069,0.129,0.839,4,0.17,-18.167,0.0324,70.59,0.253,0
Vamos,0i6KOje3rNRSNPw0vy803g,0.00209,0.52,181237,0.975,0.213,2,0.148,-3.66,0.0839,128.017,0.254,1
I'm Not Okay (I Promise),7lRlq939cDG4SzWOF4VAnd,0.00602,0.21,186480,0.94,0,9,0.269,-3.427,0.123,179.722,0.255,1
Kids In The Dark,2dqq3YMX6nlJKXhrjY5W4J,0.524,0.47,208613,0.526,0.00557,1,0.0856,-10.987,0.0307,138.978,0.257,1
When The World Stood Still,0w9rKPt8242huJZKFA1zGX,0.989,0.461,217339,0.0167,0.848,9,0.11,-22.104,0.0509,73.77,0.259,1
What's Good,6OBl3esnGuz8PllwDWinWS,0.935,0.542,216875,0.0957,6.40E-06,8,0.182,-14.518,0.0404,134.739,0.259,1
One Night - D.O.D Remix,5Q0VxlFh80F3LmbGnuDE4M,0.00732,0.681,252500,0.969,0.199,1,0.219,-1.394,0.0702,126.024,0.26,1
Would You Rather,4ctEt5qumxA8RuzdeQagkk,0.936,0.482,199080,0.363,0.000109,10,0.104,-10.926,0.0309,135.779,0.261,1
Target,60tHXabTlAhzlkXRDWl9cp,0.714,0.55,183000,0.471,0.952,5,0.0815,-16.049,0.0295,159.983,0.261,1
Tears Don't Fall,1kdiiFGX1Htx0aVZYaDwEJ,0.000725,0.212,348386,0.926,4.83E-06,7,0.081,-3.378,0.14,162.103,0.262,1
Time Out,4CYsf9MUjowxTMTVT39hTL,0.988,0.695,174240,0.0761,0.929,9,0.133,-17.043,0.0399,125.017,0.262,1
Betty,0yBM8cOHjb6iiMI2eM8pIc,0.89,0.171,161750,0.185,0.94,9,0.101,-19.651,0.0348,142.694,0.264,1
Ballad of the Dying Man,65w8nArxPq2EzOAhteymf0,0.848,0.399,290736,0.443,0.000406,5,0.0899,-9.168,0.0272,139.643,0.265,1
I've Been Fine,0KyPBZ6PAxzpcAobqxhaHu,0.13,0.548,241079,0.569,0.00134,11,0.0584,-6.215,0.039,75.082,0.265,1
White Sparks,7LF1XX9NNuvFtrRliJSEoh,0.989,0.574,126801,0.0835,0.935,10,0.117,-22.763,0.0413,106.027,0.265,1
Not Alone,7tx0NDsCViutjOyd1c4A28,0.00538,0.68,215447,0.721,0.000216,7,0.0679,-6.21,0.0355,122,0.267,1
Reinventing Your Exit,591vJuuep0gfPhx9p8WPD5,0.000124,0.45,262573,0.978,7.14E-06,9,0.361,-4.198,0.0637,155.014,0.268,1
Stay Here,69vYa2LVWv1TXvNIVNlJA1,0.0149,0.432,176129,0.839,0,6,0.362,-3.901,0.0425,123.987,0.269,1
Wash It All Away,6AKWOVOJ81OQfsgxZbJ6QN,2.08E-05,0.485,224906,0.987,0,4,0.267,-3.1,0.0738,123.576,0.272,1
Dust On The Ground,2SbIONplUQ0BvXyRgGDgCz,0.757,0.605,243752,0.319,0.00237,10,0.116,-10.892,0.0306,109.603,0.273,1
Bad Feeling,1qUaWLUot3Iik95S09cdSZ,0.351,0.512,157930,0.352,0.74,5,0.106,-9.093,0.0354,82.943,0.275,1
United,27BMhzmPptTnpra962NgQh,0.0565,0.643,217391,0.957,0.841,1,0.0763,-5.026,0.0892,138.073,0.281,1
Bloom Innocent,7zNT9GE070fYjnhx6TFWnQ,0.931,0.519,416353,0.236,0.133,2,0.127,-18.378,0.0362,80.008,0.283,1
Thin White Duchess,0QevFRZ5eiXah4VZWeviK4,0.115,0.537,252392,0.655,0.294,7,0.243,-8.194,0.0374,119.965,0.283,1
How To Fight,6ruBSXfnFc6raFDFm9YB3r,0.702,0.404,211295,0.249,0.000911,7,0.171,-15.881,0.0472,120.221,0.284,1
Shine,6YbVddGFPcfOVJrxhUusbV,0.0259,0.428,163124,0.873,2.64E-05,10,0.668,-3.499,0.0566,127.95,0.285,1
Devotion And Desire,27O9FuS1UIm6ZyLplgLQAH,0.000702,0.296,209626,0.9,0,2,0.339,-4.918,0.0922,184.256,0.286,1
Chop Suey!,2DlHlPMa4M17kufBvI2lEN,0.000278,0.419,210240,0.934,0.0015,7,0.132,-3.908,0.12,127.288,0.286,1
Dawning,56ag77KIUFvxJhA1gdObsq,0.64,0.526,206419,0.471,0.817,0,0.096,-11.965,0.0424,119.972,0.286,1
Someone Like You,6QPKYGnAW9QozVz2dSWqRg,0.893,0.554,285240,0.321,0,9,0.0996,-8.251,0.028,135.047,0.288,1
Freya,0aaTrekfgJgLiH00lnPKm7,0.000211,0.64,284878,0.667,0.899,11,0.0748,-10.19,0.0379,122.994,0.288,1
Stricken,4VGUcTzWj0ebZ0UgI9irJL,8.51E-05,0.404,245109,0.969,0.0114,8,0.268,-2.938,0.195,173.878,0.29,1
Alison,55CenVQ4alvDJ1PS8aYB0m,0.00957,0.279,231893,0.423,0.837,4,0.128,-12.06,0.038,101.571,0.291,1
The King (with Dzeko),40UbcJWyWPqOWFvv4Dpvfc,0.0587,0.655,209493,0.726,0.00311,9,0.145,-4.614,0.0324,128.001,0.292,1
My Way - Marcus Santoro Remix,29pQasEiyy3Otgq55dzyTt,0.0122,0.563,181147,0.882,2.09E-06,1,0.0641,-4.755,0.0596,125.043,0.296,1
Should Have Known Better,5I6y1KWmUoV5YCaIEcs1qs,0.979,0.571,307697,0.172,0.275,7,0.124,-20.7,0.0318,90.972,0.297,1
ATTACK,6QxTWEvzcJljVZaeTzuHF1,0.00344,0.331,189200,0.876,0.000835,5,0.732,-1.894,0.0603,175.009,0.299,1
After The Rain,2XBc2jWnvPqNO2LebVtLaY,0.993,0.456,116625,0.0337,0.948,0,0.126,-26.87,0.0334,97.199,0.3,1
My Hero,7u5dBtASrtOuBTTZjJrvuJ,6.01E-05,0.364,258973,0.925,0.000251,4,0.0603,-4.224,0.0659,153.981,0.301,1
Blaster,1fMZR4DD2mE0iXginD9fOc,0.0326,0.667,159523,0.857,0.464,2,0.27,-4.729,0.0468,125.946,0.301,1
Lost Moon,5QlL4Rxjw3MQbx8Xvs75ts,0.328,0.448,356125,0.591,0.708,0,0.111,-9.291,0.0327,145.482,0.303,1
Seven Nation Army,3m6KkYKdnbffMpGd9Pm9FP,0.00666,0.745,231920,0.466,0.35,4,0.272,-7.62,0.0864,123.889,0.303,1
